aiw	Aari
liw	Col
csn	Colombian Sign Language
gct	Colonia Tovar German
cof	Colorado
col	Columbia-Wenatchi
cco	Comaltepec Chinantec
com	Comanche
xcm	Comecrudo
cfg	Como Karim
coo	Comox
cno	Con
swc	Congo Swahili
cnc	Côông
csz	Coos
zoc	Copainalá Zoque
trc	Copala Triqui
cop	Coptic
coq	Coquille
cry	Cori
cor	Cornish
qwa	Corongo Ancash Quechua
cos	Corsican
csr	Costa Rican Sign Language
mta	Cotabato Manobo
xcn	Cotoname
cow	Cowlitz
pbf	Coyotepec Popoloca
toc	Coyutla Totonac
cre	Cree
mus	Creek
crh	Crimean Tatar
csq	Croatia Sign Language
hrv	Croatian
mfn	Cross River Mbembe
cro	Crow
crz	Cruzeño
cua	Cua
csf	Cuba Sign Language
cub	Cubeo
cui	Cuiba
cul	Culina
cuo	Cumanagoto
xcb	Cumbric
cuq	Cun
xlu	Cuneiform Luwian
cup	Cupeño
xcu	Curonian
kpc	Curripaco
quz	Cusco Quechua
ccl	Cutchi-Swahili
cuv	Cuvok
xtu	Cuyamecalco Mixtec
cyo	Cuyonon
bwy	Cwi Bwamu
acy	Cypriot Arabic
ces	Czech
cse	Czech Sign Language
kzf	Da'a Kaili
dao	Daai Chin
bpa	Daakaka
lni	Daantanai'
dsh	Daasanach
dtn	Daatsʼíin
dbq	Daba
dbr	Dabarre
dbe	Dabe
xdc	Dacian
dda	Dadi Dadi
mps	Dadibi
dbd	Dadiya
dgz	Daga
dgd	Dagaari Dioula
dgk	Dagba
dag	Dagbani
dec	Dagik
dgn	Dagoman
dlk	Dahalik
dal	Dahalo
das	Daho-Doo
dij	Dai
zhd	Dai Zhuang
drb	Dair
dkk	Dakka
dak	Dakota
dka	Dakpakha
ngk	Dalabon
dlm	Dalmatian
bev	Daloa Bété
dmm	Dama
dam	Damakawa
uhn	Damal
dac	Dambi
dml	Dameli
dms	Dampelas
dnj	Dan
dnr	Danaru
dnu	Danau
daq	Dandami Maria
daa	Dangaléat
thl	Dangaura Tharu
dan	Danish
dsl	Danish Sign Language
aso	Dano
dnv	Danu
daz	Dao
dnd	Daonda
daj	Dar Fur Daju
dau	Dar Sila Daju
djc	Dar Daju Daju
dry	Darai
dar	Dargwa
prs	Dari
xda	Darkinyung
dln	Darlong
drd	Darmiya
dro	Daro-Matu Melanau
dot	Dass
tcc	Datooga
dgw	Daungwurrung
dta	Daur
daw	Davawenyo
kwa	Dâw
dww	Dawawa
ddw	Dawera-Daweloor
dwr	Dawro
dai	Day
dax	Dayi
dzg	Dazaga
dcc	Deccan
ded	Dedua
afn	Defaka
gbh	Defi Gbe
mzw	Deg
dgu	Degaru
deg	Degema
dge	Degenan
ing	Degexit'an
dhv	Dehu
deh	Dehwari
dek	Dek
row	Dela-Oenale
del	Delaware
ntr	Delo
dem	Dem
dmx	Dema
dei	Demisa
dmy	Demta
ddn	Dendi (Benin)
deq	Dendi (Central African Republic)
dez	Dengese
dnk	Dengka
dny	Dení
dbb	Deno
anv	Denya
der	Deori
kbv	Dera (Indonesia)
kna	Dera (Nigeria)
des	Desano
dso	Desiya
dee	Dewoin
def	Dezfuli
dgh	Dghwede
dhs	Dhaiso
dhl	Dhalandji
dhg	Dhangu-Djangu
dhn	Dhanki
dhw	Dhanwar (Nepal)
nfa	Dhao
dhr	Dhargari
xdk	Dharuk
xgm	Dharumbal
mki	Dhatki
dhi	Dhimal
div	Dhivehi
dho	Dhodia
adf	Dhofari Arabic
ddr	Dhudhuroa
dhd	Dhundari
dhx	Dhungaloo
dhu	Dhurga
dwu	Dhuwal
dwy	Dhuwaya
dia	Dia
mbd	Dibabawon Manobo
dby	Dibiyaso
dio	Dibo
bvx	Dibole
duy	Dicamay Agta
did	Didinga
ddo	Dido
dif	Dieri
mhu	Digaro-Mishmi
dig	Digo
dur	Dii
cfa	Dijim-Bwilim
dil	Dilling
jma	Dima
dis	Dimasa
dii	Dimbong
dim	Dime
diq	Dimli (individual language)
diz	Ding
din	Dinka
dit	Dirari
gdl	Dirasha
dwa	Diri
diu	Diriku
dir	Dirim
dsi	Disa
tbz	Ditammari
dtd	Ditidaht
diy	Diuwe
xtd	Diuxi-Tilantongo Mixtec
dix	Dixon Reef
mdx	Dizin
tjw	Djabwurrung
dja	Djadjawurrung
djr	Djambarrpuyngu
djd	Djamindjung
djf	Djangun
djn	Djauan
djw	Djawi
djj	Djeebbana
dyi	Djimini Senoufo
dji	Djinang
djb	Djinba
jig	Djingili
dze	Djiwarli
kvo	Dobel
dob	Dobu
doe	Doe
dgg	Doga
dgx	Doghoro
dos	Dogosé
dgs	Dogoso
dgo	Dogri (individual language)
doi	Dogri (macrolanguage)
dgr	Dogrib
dbg	Dogul Dom Dogon
dbi	Doka
uya	Doko-Uyanga
dlg	Dolgan
dre	Dolpo
doa	Dom
dmk	Domaaki
rmt	Domari
dov	Dombe
doq	Dominican Sign Language
doy	Dompo
dof	Domu
dev	Domung
dok	Dondo
doh	Dong
doo	Dongo
ddd	Dongotono
yik	Dongshanba Lalo
sce	Dongxiang
dds	Donno So Dogon
dde	Doondo
dor	Dori'o
kqc	Doromu-Koki
drr	Dororo
doz	Dorze
dol	Doso
dty	Dotyali
tds	Doutai
dow	Doyayo
drt	Drents
duu	Drung
dua	Duala
dup	Duano
dva	Duau
dub	Dubli
dmu	Dubu
ndu	Dugun
dbm	Duguri
dme	Dugwor
kbz	Duhwa
nke	Duke
dbo	Dulbu
duz	Duli-Gey
dma	Duma
duf	Dumbea
dus	Dumi
dmv	Dumpas
dui	Dumun
duc	Duna
dng	Dungan
raa	Dungmali
duh	Dungra Bhil
dbv	Dungu
duo	Dupaninan Agta
drq	Dura
mvp	Duri
dbn	Duriankere
dug	Duruma
pci	Duruwa
dsn	Dusner
dun	Dusun Deyah
duq	Dusun Malang
duw	Dusun Witu
dse	Dutch Sign Language
nld	Dutch
dws	Dutton World Speedwords
dux	Duungooma
dae	Duupa
duv	Duvle
dbp	Duwai
gve	Duwet
ldb	Dũya
nnu	Dwang
dyy	Dyaabugay
dyb	Dyaberdyaber
dya	Dyan
dyn	Dyangadi
dbl	Dyirbal
dyd	Dyugun
dyu	Dyula
jen	Dza
dzl	Dzalakha
dzn	Dzando
bpn	Dzao Min
add	Dzodinka
dzo	Dzongkha
dnn	Dzùùngoo
eee	E
xtr	Early Tripuri
dmr	East Damar
fud	East Futuna
kjs	East Kewa
lma	East Limba
mky	East Makian
nle	East Nyala
omb	East Ambae
tre	East Tarangan
vme	East Masela
yuy	East Yugur
zbe	East Berawan
aaq	Eastern Abnaki
acp	Eastern Acipa
aer	Eastern Arrernte
avl	Eastern Egyptian Bedawi Arabic
azd	Eastern Durango Nahuatl
bgp	Eastern Balochi
bnj	Eastern Tawbuid
bru	Eastern Bru
cek	Eastern Khumi Chin
cjm	Eastern Cham
cly	Eastern Highland Chatino
djk	Eastern Maroon Creole
ebk	Eastern Bontok
ekc	Eastern Karnic
eky	Eastern Kayah
emg	Eastern Meohang
emk	Eastern Maninkakan
emu	Eastern Muria
frs	Eastern Frisian
gbx	Eastern Xwla Gbe
gui	Eastern Bolivian Guaraní
hae	Eastern Oromo
hme	Eastern Huishui Hmong
hmq	Eastern Qiandong Miao
ike	Eastern Canadian Inuktitut
kee	Eastern Keres
kif	Eastern Parbate Kham
kqo	Eastern Krahn
ktv	Eastern Katu
lwl	Eastern Lawa
mgp	Eastern Magar
mhr	Eastern Mari
mng	Eastern Mnong
muq	Eastern Xiangxi Miao
nea	Eastern Ngad'a
nhe	Eastern Huasteca Nahuatl
nos	Eastern Nisu
ojg	Eastern Ojibwa
otm	Eastern Highland Otomi
peb	Eastern Pomo
pez	Eastern Penan
qve	Eastern Apurímac Quechua
sfe	Eastern Subanen
taj	Eastern Tamang
tge	Eastern Gorkha Tamang
xrb	Eastern Karaboro
ydd	Eastern Yiddish
yit	Eastern Lalu
zeh	Eastern Hongshuihe Zhuang
igb	Ebira
xeb	Eblan
ebr	Ebrié
ebg	Ebughu
ecs	Ecuadorian Sign Language
cbj	Ede Cabe
ica	Ede Ica
idd	Ede Idaca
ijj	Ede Ije
awy	Edera Awyu
etr	Edolo
xdm	Edomite
dbf	Edopi
efa	Efai
efe	Efe
efi	Efik
ofu	Efutop
ega	Ega
ego	Eggon
esl	Egypt Sign Language
arz	Egyptian Arabic
egy	Egyptian (Ancient)
ehu	Ehueun
eip	Eipomek
eit	Eitiep
etu	Ejagham
eja	Ejamat
eka	Ekajuk
ekg	Ekari
eki	Eki
eke	Ekit
ekp	Ekpeye
crn	El Nayar Cora
elh	El Hugeirat
elo	El Molo
zpp	El Alto Zapotec
elx	Elamite
elm	Eleme
ele	Elepi
ovd	Elfdalian
ekm	Elip
elk	Elkei
zte	Elotepec Zapotec
afo	Eloyi
mrf	Elseng
elu	Elu
xly	Elymian
yzg	E'ma Buyang
mmw	Emae
ema	Emai-Iuleha-Ora
emn	Eman
emb	Embaloh
bdc	Emberá-Baudó
cto	Emberá-Catío
cmi	Emberá-Chamí
tdc	Emberá-Tadó
ebu	Embu
eme	Emerillon
egl	Emilian
emw	Emplawas
enr	Emumu
enc	En
pbh	E'ñapa Woromaipu
unk	Enawené-Nawé
end	Ende
enq	Enga
ngr	Engdewu
enn	Engenni
eno	Enggano
eng	English
enl	Enlhet
ptt	Enrekang
enu	Enu
env	Enwan (Edu State)
enw	Enwan (Akwa Ibom State)
enx	Enxet
gey	Enya
sja	Epena
epi	Epie
emy	Epigraphic Mayan
xep	Epi-Olmec
era	Eravallan
kjy	Erave
twp	Ere
ert	Eritai
erw	Erokwanas
err	Erre
emx	Erromintxela
ers	Ersu
erh	Eruwa
myv	Erzya
ish	Esan
ese	Ese Ejja
mcq	Ese
esh	Eshtehardi
ags	Esimbi
esy	Eskayan
epo	Esperanto
esq	Esselen
ots	Estado de México Otomi
eso	Estonian Sign Language
est	Estonian
esm	Esuma
etc	Etchemin
etb	Etebi
etx	Eten
ecr	Eteocretan
ecy	Eteocypriot
eth	Ethiopian Sign Language
ich	Etkywan
etn	Eton (Vanuatu)
eto	Eton (Cameroon)
ett	Etruscan
utr	Etulo
bzz	Evant
eve	Even
evn	Evenki
gev	Eviya
nou	Ewage-Notu
ewe	Ewe
ewo	Ewondo
ext	Extremaduran
eya	Eyak
eza	Ezaa
fab	Fa d'Ambu
faf	Fagani
azt	Faire Atta
faj	Faita
fai	Faiwol
fax	Fala
cfm	Falam Chin
fli	Fali
xfa	Faliscan
fam	Fam
fng	Fanagalo
bjp	Fanamaket
fnb	Fanbak
fak	Fang (Cameroon)
fan	Fang (Equatorial Guinea)
fni	Fania
fat	Fanti
fmu	Far Western Muria
gur	Farefare
fao	Faroese
fqs	Fas
faa	Fasu
far	Fataleka
ddg	Fataluku
fau	Fayu
fmp	Fe'fe'
agl	Fembe
fpe	Fernando Po Creole English
fer	Feroge
hif	Fiji Hindi
fij	Fijian
fil	Filipino
tlp	Filomena Mata-Coahuitlán Totonac
fss	Finland-Swedish Sign Language
fin	Finnish
fse	Finnish Sign Language
fag	Finongan
fip	Fipa
fir	Firan
fiw	Fiwaga
fly	Flaaitaal
fln	Flinders Island
flh	Foau
foi	Foi
ffi	Foia Foia
ppo	Folopa
fom	Foma
fon	Fon
fgr	Fongoro
fod	Foodo
frq	Forak
frd	Fordata
for	Fore
enf	Forest Enets
frt	Fortsenal
zos	Francisco León Zoque
frk	Frankish
fra	French
fsl	French Sign Language
fur	Friulian
ful	Fulah
flr	Fuliiru
fun	Fulniô
fum	Fum
ula	Fungwa
fvr	Fur
fuu	Furu
fut	Futuna-Aniwa
fuy	Fuyug
fwa	Fwâi
fwe	Fwe
pym	Fyam
fie	Fyer
gaa	Ga
ttb	Gaa
tbi	Gaam
gqa	Ga'anda
gbw	Gabi-Gabi
gie	Gaɓogbo
gab	Gabri
xgf	Gabrielino-Fernandeño
gdk	Gadang
gdg	Ga'dang
gad	Gaddang
gbk	Gaddi
gda	Gade Lohar
ged	Gade
gdh	Gadjerawang
gaj	Gadsup
gft	Gafat
gbu	Gagadu
gag	Gagauz
btg	Gagnoa Bété
ggu	Gagu
bfu	Gahri
gbf	Gaikundi
gic	Gail
gcn	Gaina
gap	Gal
glo	Galambu
xga	Galatian
gbi	Galela
gar	Galeya
car	Galibi Carib
gce	Galice
glg	Galician
xgl	Galindan
sdn	Gallurese Sardinian
adl	Galo
gal	Galolen
kgj	Gamale Kham
gma	Gambera
wof	Gambian Wolof
kld	Gamilaraay
gbl	Gamit
gak	Gamkonora
gmv	Gamo
bte	Gamo-Ningi
gan	Gan Chinese
gnq	Gana
gnk	//Gana
gne	Ganang
lug	Ganda
pgd	Gāndhārī
gzn	Gane
gcd	Ganggalida
ggl	Ganglau
gnb	Gangte
gnl	Gangulu
gao	Gants
gza	Ganza
gnz	Ganzi
gga	Gao
pwg	Gapapaiwa
gbm	Garhwali
cab	Garifuna
ilg	Garig-Ilgar
xgi	Garingbal
gll	Garlali
grt	Garo
gex	Garre
wrk	Garrwa
gyb	Garus
xgr	Garza
gaq	Gata'
dmc	Gavak
gou	Gavar
gvo	Gavião Do Jiparaná
gwt	Gawar-Bati
gwd	Gawwada
gyl	Gayil
gay	Gayo
gzi	Gazi
gbr	Gbagyi
gbv	Gbanu
gbg	Gbanziri
gby	Gbari
gba	Gbaya (Central African Republic)
krs	Gbaya (Sudan)
gbp	Gbaya-Bossangoa
gbq	Gbaya-Bozoum
gmm	Gbaya-Mbodomo
gyg	Gbayi
gbs	Gbesi Gbe
ggb	Gbii
xgb	Gbin
grh	Gbiri-Niragu
gec	Gboloo Grebo
hmj	Ge
kvq	Geba Karen
gei	Gebe
gdd	Gedaged
drs	Gedeo
gez	Geez
gji	Geji
ghk	Geko Karen
nlg	Gela
geq	Geme
gej	Gen
gaf	Gende
geg	Gengle
kat	Georgian
ygp	Gepo
gew	Gera
deu	German
gsg	German Sign Language
gea	Geruma
ges	Geser-Gorom
gha	Ghadamès
gpe	Ghanaian Pidgin English
gse	Ghanaian Sign Language
gds	Ghandruk Sign Language
ghn	Ghanongga
gri	Ghari
bmk	Ghayavi
aln	Gheg Albanian
ghr	Ghera
gdo	Ghodoberi
bbj	Ghomálá'
gho	Ghomara
aaa	Ghotuo
ghl	Ghulfan
bgi	Giangan
gib	Gibanawa
gid	Gidar
kks	Giiwo
acd	Gikyode
glk	Gilaki
gil	Gilbertese
gix	Gilima
niv	Gilyak
gim	Gimi (Eastern Highlands)
gip	Gimi (West New Britain)
kmp	Gimme
gmn	Gimnime
gnm	Ginuman
ayg	Ginyanga
bbr	Girawa
nyf	Giryama
gih	Githabul
toh	Gitonga
ggt	Gitua
git	Gitxsan
giy	Giyug
tof	Gizrra
glr	Glaro-Twabo
glw	Glavda
oub	Glio-Oubi
gnu	Gnau
gom	Goan Konkani
gig	Goaria
goi	Gobasi
gox	Gobu
god	Godié
gdx	Godwari
ank	Goemai
gof	Gofa
gog	Gogo
ggw	Gogodala
gkn	Gokana
gol	Gola
gvf	Golin
lja	Golpa
gon	Gondi
goo	Gone Dau
goe	Gongduk
gjn	Gonja
gni	Gooniyandi
gqr	Gor
goc	Gorakor
goq	Gorap
xgg	Goreng
gor	Gorontalo
grq	Gorovu
gow	Gorowa
got	Gothic
goy	Goundo
gux	Gourmanchéma
goj	Gowlan
gok	Gowli
gwf	Gowro
goz	Gozarkhani
nli	Grangali
kbk	Grass Koiari
grb	Grebo
gss	Greek Sign Language
giq	Green Gelao
gcl	Grenadian Creole English
grs	Gresi
gro	Groma
gos	Gronings
ats	Gros Ventre
gwx	Gua
gcf	Guadeloupean Creole French
guh	Guahibo
gvj	Guajá
gub	Guajajára
gum	Guambiano
gqn	Guana (Brazil)
gva	Guana (Paraguay)
gvc	Guanano
gnc	Guanche
jiq	Guanyinqiao
grn	Guarani
gyr	Guarayu
gae	Guarequena
gsm	Guatemalan Sign Language
gta	Guató
guo	Guayabero
xgd	Gudang
nji	Gudanji
gde	Gude
gdu	Gudu
gdf	Guduf-Gava
amu	Guerrero Amuzgo
ngu	Guerrero Nahuatl
zpg	Guevea De Humboldt Zapotec
ggd	Gugadj
gdc	Gugu Badhun
wrw	Gugu Warra
kkp	Gugubera
kky	Guguyimidjir
ghs	Guhu-Samane
gcr	Guianese Creole French
zgb	Guibei Zhuang
bet	Guiberoua Béte
zgn	Guibian Zhuang
ztu	Güilá Zapotec
gkp	Guinea Kpelle
gus	Guinean Sign Language
gqi	Guiqiong
guj	Gujarati
gju	Gujari
glj	Gula Iro
glu	Gula (Chad)
kcm	Gula (Central African Republic)
gmb	Gula'alaa
gvl	Gulay
gly	Gule
afb	Gulf Arabic
gli	Guliguli
gmu	Gumalu
gnn	Gumatj
gvs	Gumawana
guk	Gumuz
guw	Gun
gdi	Gundi
gjm	Gunditjmara
xrd	Gundungurra
gyf	Gungabula
rub	Gungu
gnt	Guntai
gup	Gunwinggu
gyy	Gunya
gpa	Gupa-Abawa
guf	Gupapuyngu
gge	Guragone
grz	Guramalum
hac	Gurani
gdj	Gurdjar
gnr	Gureng Gureng
ggg	Gurgula
grx	Guriaso
gjr	Gurindji Kriol
gue	Gurinji
gvm	Gurmana
goa	Guro
gvr	Gurung
grd	Guruntum-Mbaaru
guz	Gusii
gsl	Gusilay
xgw	Guwa
gwu	Guwamu
gka	Guya
gyn	Guyanese Creole English
gvy	Guyani
ngs	Gvoko
gwb	Gwa
dah	Gwahatike
jgk	Gwak
bga	Gwamhi-Wuri
gwn	Gwandara
grw	Gweda
gwe	Gweno
gwr	Gwere
gwj	/Gwi
gwi	Gwichʼin
gyi	Gyele
gye	Gyem
haq	Ha
hbu	Habu
hdy	Hadiyya
hoj	Hadothi
ayh	Hadrami Arabic
xhd	Hadrami
hts	Hadza
aek	Haeke
hah	Hahon
hai	Haida
hgw	Haigwai
hgm	Hai//om
haf	Haiphong Sign Language
has	Haisla
hat	Haitian
hvc	Haitian Vodoun Culture Language
hji	Haji
haj	Hajong
cnh	Hakha Chin
hak	Hakka Chinese
hao	Hakö
hal	Halang
hld	Halang Doan
hlb	Halbi
khk	Halh Mongolian
hla	Halia
hur	Halkomelem
hmu	Hamap
hba	Hamba
amf	Hamer-Banna
hmt	Hamtai
haa	Han
hag	Hanga
wos	Hanga Hundi
han	Hangaza
hni	Hani
lml	Hano
hab	Hanoi Sign Language
hnn	Hanunoo
xha	Harami
har	Harari
kjo	Harijan Kinnauri
hro	Haroi
hss	Harsusi
tmd	Haruai
hrk	Haruku
bgc	Haryanvi
hrz	Harzani
ybj	Hasha
mey	Hassaniyya
had	Hatam
xht	Hattic
hau	Hausa
hsl	Hausa Sign Language
yuf	Havasupai-Walapai-Yavapai
hvk	Haveke
hav	Havu
hps	Hawai'i Sign Language (HSL)
hwc	Hawai'i Creole English
haw	Hawaiian
hay	Haya
haz	Hazaragi
xed	Hdi
heb	Hebrew
heh	Hehe
hbn	Heiban
hei	Heiltsuk
scp	Helambu Sherpa
heg	Helong
nix	Hema
hem	Hemba
hed	Herdé
her	Herero
llf	Hermit
xhr	Hernican
hrt	Hértevin
ham	Hewa
auk	Heyo
ghc	Hiberno-Scottish Gaelic
hib	Hibito
hid	Hidatsa
hlu	Hieroglyphic Luwian
mba	Higaonon
azz	Highland Puebla Nahuatl
chd	Highland Oaxaca Chontal
kjk	Highland Konjo
poi	Highland Popoluca
tos	Highland Totonac
acw	Hijazi Arabic
hij	Hijuk
hil	Hiligaynon
hir	Himarimã
hin	Hindi
hii	Hinduri
gin	Hinukh
hmo	Hiri Motu
hit	Hittite
htu	Hitu
hiw	Hiw
hix	Hixkaryána
lic	Hlai
yhl	Hlepho Phowa
hle	Hlersu
hmr	Hmar
hmf	Hmong Don
hmn	Hmong
hmv	Hmong Dô
hmz	Hmong Shua
hnj	Hmong Njua
mww	Hmong Daw
mrk	Hmwaveke
hoc	Ho
hos	Ho Chi Minh City Sign Language
hoa	Hoava
hoh	Hobyót
win	Ho-Chunk
hhi	Hoia Hoia
hoi	Holikachuk
hoy	Holiya
hod	Holma
hoo	Holoholo
hol	Holu
hom	Homa
hds	Honduras Sign Language
juh	Hõne
hks	Hong Kong Sign Language
how	Honi
hop	Hopi
hrm	Horned Miao
hor	Horo
hoe	Horom
ero	Horpa
hot	Hote
hti	Hoti
hov	Hovongan
hhy	Hoyahoya
hoz	Hozo
hpo	Hpon
hra	Hrangkhol
hre	Hre
hru	Hruso
huo	Hu
huc	=/Hua
hug	Huachipaeri
qub	Huallaga Huánuco Quechua
qvh	Huamalíes-Dos de Mayo Huánuco Quechua
hub	Huambisa
var	Huarijio
hus	Huastec
hud	Huaulu
mau	Huautla Mazatec
nhq	Huaxcaleca Nahuatl
qwh	Huaylas Ancash Quechua
qvw	Huaylla Wanca Quechua
hbb	Huba
tee	Huehuetla Tepehua
hch	Huichol
huh	Huilliche
mxs	Huitepec Mixtec
czh	Huizhou Chinese
huw	Hukumina
hul	Hula
huy	Hulaulá
hui	Huli
huk	Hulung
hmb	Humburi Senni Songhay
huf	Humene
hut	Humla
hke	Hunde
hnu	Hung
hum	Hungana
hsh	Hungarian Sign Language
hun	Hungarian
hkk	Hunjara-Kaina Ke
xhc	Hunnic
dud	Hun-Saare
hrx	Hunsrik
huz	Hunzib
hup	Hupa
jup	Hupdë
hap	Hupla
xhu	Hurrian
geh	Hutterite German
hwo	Hwana
hya	Hya
jab	Hyam
iai	Iaai
yml	Iamalele
ian	Iatmul
tmu	Iau
tek	Ibali Teke
ibl	Ibaloi
iba	Iban
ibg	Ibanag
iby	Ibani
ivb	Ibatan
xib	Iberian
ibb	Ibibio
ibn	Ibino
ibu	Ibu
ibr	Ibuoro
icl	Icelandic Sign Language
isl	Icelandic
bec	Iceve-Maci
dbj	Ida'an
ida	Idakho-Isukha-Tiriki
idt	Idaté
ide	Idere
ids	Idesa
idi	Idi
ido	Ido
idu	Idoma
idc	Idon
clk	Idu-Mishmi
viv	Iduna
ife	Ifè
iff	Ifo
igl	Igala
igg	Igana
ibo	Igbo
ige	Igede
ign	Ignaciano
ahl	Igo
nar	Iguta
igw	Igwe
ihb	Iha Based Pidgin
ihp	Iha
ihi	Ihievbe
vki	Ija-Zuba
ikx	Ik
ikk	Ika
ikr	Ikaranggal
ikz	Ikizu
iki	Iko
meb	Ikobi
ntk	Ikoma-Nata-Isenye
txi	Ikpeng
ikp	Ikpeshi
kpo	Ikposo
ikv	Iku-Gora-Ankwa
ikl	Ikulu
ikw	Ikwere
iqw	Ikwo
ilb	Ila
ila	Ile Ape
ili	Ili Turki
mbi	Ilianen Manobo
ilu	Ili'uun
xil	Illyrian
ilo	Iloko
ilk	Ilongot
ilv	Ilue
mlk	Ilwana
qvi	Imbabura Highland Quichua
imo	Imbongu
imn	Imonda
imr	Imroing
abx	Inabaknon
mzu	Inapang
inp	Iñapari
smn	Inari Sami
ins	Indian Sign Language
bdl	Indonesian Bajau
ind	Indonesian
inl	Indonesian Sign Language
idb	Indo-Portuguese
idr	Indri
mvy	Indus Kohistani
xiv	Indus Valley Language
oin	Inebu One
inz	Ineseño
inb	Inga
izh	Ingrian
inh	Ingush
iti	Inlaod Itneg
ino	Inoke-Yate
loc	Inonhan
ior	Inor
nkf	Inpui Naga
igs	Interglossa
ina	Interlingua (International Auxiliary Language Association)
ile	Interlingue
ils	International Sign
int	Intha
ikt	Inuinnaqtun
iks	Inuit Sign Language
iku	Inuktitut
ipk	Inupiaq
iow	Iowa-Oto
azm	Ipalapa Amuzgo
ipo	Ipiko
ipi	Ipili
ass	Ipulo
iqu	Iquito
irr	Ir
pes	Iranian Persian
irn	Irántxe
ilm	Iranun (Malaysia)
ilp	Iranun (Philippines)
irk	Iraqw
irh	Irarutu
iry	Iraya
ire	Iresim
iri	Irigwe
gle	Irish
isg	Irish Sign Language
iru	Irula
isa	Isabi
isn	Isanzu
agk	Isarog Agta
isc	Isconahua
igo	Isebe
its	Isekiri
isk	Ishkashimi
inn	Isinai
srl	Isirawa
crb	Island Carib
icr	Islander Creole English
isd	Isnag
iso	Isoko
isr	Israeli Sign Language
mir	Isthmus Mixe
zai	Isthmus Zapotec
nhk	Isthmus-Cosoleacaque Nahuatl
nhx	Isthmus-Mecayapan Nahuatl
nhp	Isthmus-Pajapan Nahuatl
ist	Istriot
ruo	Istro Romanian
isu	Isu (Menchum Division)
szv	Isu (Fako Division)
ise	Italian Sign Language
ita	Italian
itv	Itawit
itl	Itelmen
ite	Itene
itr	Iteri
itx	Itik
itw	Ito
ito	Itonama
itm	Itu Mbon Uzo
mce	Itundujia Mixtec
itz	Itzá
ium	Iu Mien
ivv	Ivatan
atg	Ivbie North-Okpela-Arhe
ibd	Iwaidja
iwk	I-Wak
kbm	Iwal
iwm	Iwam
iwo	Iwur
ixc	Ixcatec
mzi	Ixcatlán Mazatec
ixl	Ixil
vmj	Ixtayutla Mixtec
otz	Ixtenco Otomi
iya	Iyayu
uiv	Iyive
nca	Iyo
crt	Iyojwa'ja Chorote
crq	Iyo'wujwa Chorote
izr	Izere
izz	Izii
ijc	Izon
cbo	Izora
jbt	Jabutí
jda	Jad
jdg	Jadgali
jah	Jah Hut
jad	Jahanka
awv	Jair Awyu
xjt	Jaitmatang
jat	Jakati
jak	Jakun
maj	Jalapa De Díaz Mazatec
bxl	Jalkunan
jam	Jamaican Creole English
jcs	Jamaican Country Sign Language
jls	Jamaican Sign Language
jaa	Jamamadí
jax	Jambi Malay
mxt	Jamiltepec Mixtec
djm	Jamsay Dogon
jan	Jandai
jnd	Jandavra
djo	Jangkang
jna	Jangshung
jni	Janji
jpn	Japanese
jsl	Japanese Sign Language
jru	Japrería
jqr	Jaqaru
jaf	Jara
jra	Jarai
anq	Jarawa (India)
ddj	Jaru
qxw	Jauja Wanca Quechua
jns	Jaunsari
jav	Javanese
jvd	Javindo
jaz	Jawe
jyy	Jaya
jeb	Jebero
jeh	Jeh
jhi	Jehai
jje	Jejueo
tow	Jemez
bze	Jenaama Bozo
xuj	Jennu Kurumba
jer	Jere
jek	Jeri Kuo
nrf	Jèrriais
jee	Jerung
jpa	Jewish Palestinian Aramaic
tmr	Jewish Babylonian Aramaic (ca. 200-1200 CE)
jhs	Jhankot Sign Language
jio	Jiamao
jya	Jiarong
juo	Jiba
jib	Jibu
apj	Jicarilla Apache
jii	Jiiddu
jie	Jilbe
jil	Jilim
jim	Jimi (Cameroon)
jmi	Jimi (Nigeria)
jia	Jina
cjy	Jinyu Chinese
pnu	Jiongnai Bunu
jul	Jirel
jrr	Jiru
jit	Jita
kaj	Jju
job	Joba
jbr	Jofotek-Bromnya
jog	Jogi
dyo	Jola-Fonyi
csk	Jola-Kasa
jeu	Jonkor Bourmataguil
jor	Jorá
jos	Jordanian Sign Language
jrt	Jorto
jow	Jowulu
juu	Ju
jun	Juang
jrb	Judeo-Arabic
jbe	Judeo-Berber
jge	Judeo-Georgian
yhd	Judeo-Iraqi Arabic
itk	Judeo-Italian
aju	Judeo-Moroccan Arabic
jpr	Judeo-Persian
jdt	Judeo-Tat
yud	Judeo-Tripolitanian Arabic
ajt	Judeo-Tunisian Arabic
jye	Judeo-Yemeni Arabic
ktz	Ju/'hoan
jbu	Jukun Takum
jua	Júma
jum	Jumjum
jus	Jumla Sign Language
jml	Jumli
inj	Jungle Inga
mxq	Juquila Mixe
bex	Jur Modo
juy	Juray
juc	Jurchen
jur	Jurúna
jut	Jutish
mwb	Juwal
vmc	Juxtlahuaca Mixtec
jwi	Jwira-Pepesa
xku	Kaamba
ldl	Kaan
ckn	Kaang Chin
gna	Kaansa
ksp	Kaba
kvf	Kabalai
kbd	Kabardian
xkp	Kabatei
kbp	Kabiyè
klz	Kabola
onk	Kabore One
lkb	Kabras
uka	Kaburi
kbu	Kabutra
kea	Kabuverdianu
cwa	Kabwa
kcw	Kabwari
